customer_id,name,email,join_date,age,gender,city,country,loyalty_status,signup_source,customer_type,transaction_id,transaction_date,transaction_amount,product,product_category,quantity,discount,payment_method,purchase_channel
a317309b-c7fa-44c8-b8cc-8d4cf69917b0,Madison Mcclure,marissa60@example.net,2024-12-05,69,Other,Morganborough,Kuwait,Bronze,Website,New,f1395853-6f16-4d2b-8358-2e3d2a674c9e,2024-12-13,113.7,his,Electronics,2,0.16,Debit Card,Online
a317309b-c7fa-44c8-b8cc-8d4cf69917b0,Madison Mcclure,marissa60@example.net,2024-12-05,69,Other,Morganborough,Kuwait,Bronze,Website,New,0d9d16e5-3208-48f1-928b-270cce80ffc1,2025-01-19,204.1,stop,Sports,1,0.01,Debit Card,Online
a317309b-c7fa-44c8-b8cc-8d4cf69917b0,Madison Mcclure,marissa60@example.net,2024-12-05,69,Other,Morganborough,Kuwait,Bronze,Website,New,8d2a5cc9-5126-42e4-bcdc-65fa15e68c8b,2025-01-10,47.04,himself,Electronics,5,0.14,Debit Card,Online
a317309b-c7fa-44c8-b8cc-8d4cf69917b0,Madison Mcclure,marissa60@example.net,2024-12-05,69,Other,Morganborough,Kuwait,Bronze,Website,New,067061ac-aef0-4276-8487-732155ba124b,2025-02-20,246.38,end,Home,4,0.23,Credit Card,In-Store
a317309b-c7fa-44c8-b8cc-8d4cf69917b0,Madison Mcclure,marissa60@example.net,2024-12-05,69,Other,Morganborough,Kuwait,Bronze,Website,New,6774b018-a52a-4d6f-900a-6e59888dc177,2024-12-07,241.76,professor,Sports,2,0.07,PayPal,In-Store
a317309b-c7fa-44c8-b8cc-8d4cf69917b0,Madison Mcclure,marissa60@example.net,2024-12-05,69,Other,Morganborough,Kuwait,Bronze,Website,New,01e4241f-9fc6-4da7-a79f-ad6a815a1222,2025-01-27,319.58,look,Electronics,4,0.29,Debit Card,Online
a429f9fd-9299-403b-92bc-606380b88f6c,Nicole Parker,olee@example.net,2023-11-01,39,Female,Clarketon,Saint Lucia,Bronze,Website,VIP,eeb13f6d-a9ba-4926-b8d6-3ccea7dc7f94,2024-07-12,464.23,nothing,Electronics,1,0.07,Cash,In-Store
a429f9fd-9299-403b-92bc-606380b88f6c,Nicole Parker,olee@example.net,2023-11-01,39,Female,Clarketon,Saint Lucia,Bronze,Website,VIP,fa21fea1-eac8-4438-89dd-7013b98f61ac,2024-10-26,287.19,himself,Sports,2,0.29,Credit Card,In-Store
a429f9fd-9299-403b-92bc-606380b88f6c,Nicole Parker,olee@example.net,2023-11-01,39,Female,Clarketon,Saint Lucia,Bronze,Website,VIP,7617c9e0-c26b-4530-aedb-95a0c6ab3ca0,2024-10-11,352.52,house,Home,4,0.1,Debit Card,In-Store
a429f9fd-9299-403b-92bc-606380b88f6c,Nicole Parker,olee@example.net,2023-11-01,39,Female,Clarketon,Saint Lucia,Bronze,Website,VIP,25bd22ac-dcc6-4eac-a706-4652a50585d6,2023-11-09,440.13,move,Fashion,5,0.11,Credit Card,In-Store
a429f9fd-9299-403b-92bc-606380b88f6c,Nicole Parker,olee@example.net,2023-11-01,39,Female,Clarketon,Saint Lucia,Bronze,Website,VIP,8609b9b7-afb4-41ef-bbe6-069dee1f234a,2024-09-16,196.67,culture,Sports,2,0.22,Credit Card,Online
a429f9fd-9299-403b-92bc-606380b88f6c,Nicole Parker,olee@example.net,2023-11-01,39,Female,Clarketon,Saint Lucia,Bronze,Website,VIP,a4afa02a-e83f-4801-90b4-6185ca56b24e,2024-07-27,479.88,letter,Fashion,2,0.26,Credit Card,Online
5d7807c0-4b2b-4698-87da-65f5a01345bb,Mary Smith,amymorse@example.org,2023-05-24,18,Male,East Erinhaven,Guernsey,Bronze,Website,Returning,7aa3eba6-174c-4648-b66e-3c0f92e0bb4f,2023-10-25,428.65,measure,Sports,3,0.08,Debit Card,Online
5d7807c0-4b2b-4698-87da-65f5a01345bb,Mary Smith,amymorse@example.org,2023-05-24,18,Male,East Erinhaven,Guernsey,Bronze,Website,Returning,5bc41a9c-36f2-40d3-be39-01a7b707d19b,2024-11-13,278.36,similar,Books,1,0.29,Cash,In-Store
5d7807c0-4b2b-4698-87da-65f5a01345bb,Mary Smith,amymorse@example.org,2023-05-24,18,Male,East Erinhaven,Guernsey,Bronze,Website,Returning,5f0f16e0-2f05-463e-9225-83bcd912a3c1,2024-11-28,132.16,view,Sports,1,0.28,PayPal,In-Store
5d7807c0-4b2b-4698-87da-65f5a01345bb,Mary Smith,amymorse@example.org,2023-05-24,18,Male,East Erinhaven,Guernsey,Bronze,Website,Returning,c3141bd4-ef2e-4a10-bd8d-c26ad9f7239a,2025-02-11,274.89,quality,Home,5,0.14,PayPal,Online
5d7807c0-4b2b-4698-87da-65f5a01345bb,Mary Smith,amymorse@example.org,2023-05-24,18,Male,East Erinhaven,Guernsey,Bronze,Website,Returning,24691dcc-fa4a-492c-b19e-3f0360cbb8ed,2024-05-06,269.77,vote,Books,1,0.03,Debit Card,Online
d7385877-3304-45d3-9fa8-767e715a6f96,Brian Greene,lisa83@example.com,2024-02-20,45,Male,West Matthew,Netherlands,Bronze,In-Store,New,40a0c783-8f61-4481-a930-191d2f90ede0,2024-11-05,483.05,stop,Electronics,5,0.13,PayPal,Online
d7385877-3304-45d3-9fa8-767e715a6f96,Brian Greene,lisa83@example.com,2024-02-20,45,Male,West Matthew,Netherlands,Bronze,In-Store,New,a1a3a63a-c1e5-4d6f-bdf7-2b7434d8001c,2024-06-11,86.24,similar,Home,3,0.07,Cash,Online
d7385877-3304-45d3-9fa8-767e715a6f96,Brian Greene,lisa83@example.com,2024-02-20,45,Male,West Matthew,Netherlands,Bronze,In-Store,New,9a676761-79ef-484b-84df-c1e051ea7390,2024-11-01,95.85,body,Home,5,0.01,Cash,Online
d7385877-3304-45d3-9fa8-767e715a6f96,Brian Greene,lisa83@example.com,2024-02-20,45,Male,West Matthew,Netherlands,Bronze,In-Store,New,9298259b-09f0-4e0a-ae47-4c51d6dbbbda,2024-08-26,295.21,need,Sports,4,0.09,Credit Card,In-Store
